CNN LSTM
features,cnnseq,cnnstep,lstmunits,epochs,batch,mse,mae,mape
24,6,4,50,100,5,18202766.121,2953.523,8.635
24,6,4,150,100,5,11084948.118,2091.747,6.010
24,6,4,150,100,10,13063399.421,2430.945,7.576
24,6,4,150,100,25,20031587.340,2921.983,7.986
24,6,4,200,100,25,14250833.777,2491.391,7.285
24,6,4,500,100,25,22894726.646,3160.667,8.326
48,6,8,150,100,10,64580470.795,5367.520,13.599
48,6,8,150,100,5,30179436.852,3789.456,10.139
48,6,8,150,100,1,24670547.876,3767.763,9.952
48,6,8,150,200,4,38211675.138,4137.814,10.713
12,4,3,50,100,8,13153518.652,2706.680,8.947
12,4,3,5,100,8,80493971.290,7379.985,22.492
9,3,3,50,100,8,6376546.067,1909.271,6.730
9,3,3,200,100,8,5502701.280,1651.902,5.542
9,3,3,1000,100,8,5479657.755,1701.887,6.061
