epochs,batch_size,features,tstep,layers,mse,mae,mape
100,8,16,10,50-dr-50,100396281.931,7406.333,9.912
100,8,16,10,5-dr-5,71593758.824,6238.861,8.583
100,8,16,10,5-dr-50,101045988.415,7392.888,9.957
100,8,16,10,150-dr-10,34253618.148,3980.338,6.558
100,8,16,10,200-dr-10,37505581.673,4080.974,5.928
100,8,16,10,150-dr-25,32963685.351,3839.150,5.921
100,8,16,10,150-dr-50,31570000.220,3776.688,5.816
100,8,16,10,150-dr-75,32342814.578,3803.872,5.551
100,8,16,10,150-dr-50-dr,34304457.865,4080.478,6.828
500,8,16,10,150-dr-50,22055810.415,3343.891,5.071
1000,8,16,10,150-dr-50,114727386.926,8610.655,12.135
100,8,16,10,150-dr-50-dr-25,31719686.151,3790.729,5.393
250,8,16,10,150-dr-50-dr-25,31276989.018,3912.823,5.549
100,8,16,10,150-50-25,37461092.281,4254.617,6.017
100,8,16,10,50-25-10,29728613.117,3808.489,6.176
100,8,16,10,50-25-dr-10,35351474.910,4018.717,6.555
100,8,16,10,50-dr-25-10,59610830.323,5332.327,7.138
250,8,16,10,50-25-10,21675999.228,3301.101,5.166
1000,8,16,10,50-25-10,23074390.241,3361.174,4.828
