epochs,batch_size,features,tstep,layers,mse,mae,mape
100,8,16,10,50-dr-50,100396281.931,7406.333,9.912
100,8,16,10,5-dr-5,71593758.824,6238.861,8.583
100,8,16,10,5-dr-50,101045988.415,7392.888,9.957
100,8,16,10,150-dr-10,34253618.148,3980.338,6.558
100,8,16,10,200-dr-10,37505581.673,4080.974,5.928
100,8,16,10,150-dr-25,32963685.351,3839.150,5.921
100,8,16,10,150-dr-50,31570000.220,3776.688,5.816
100,8,16,10,150-dr-75,32342814.578,3803.872,5.551
100,8,16,10,150-dr-50-dr,34304457.865,4080.478,6.828
500,8,16,10,150-dr-50,22055810.415,3343.891,5.071
1000,8,16,10,150-dr-50,114727386.926,8610.655,12.135
100,8,16,10,150-dr-50-dr-25,31719686.151,3790.729,5.393
250,8,16,10,150-dr-50-dr-25,31276989.018,3912.823,5.549
100,8,16,10,150-50-25,37461092.281,4254.617,6.017
100,8,16,10,50-25-10,29728613.117,3808.489,6.176
100,8,16,10,50-25-dr-10,35351474.910,4018.717,6.555
100,8,16,10,50-dr-25-10,59610830.323,5332.327,7.138
250,8,16,10,50-25-10,21675999.228,3301.101,5.166
1000,8,16,10,50-25-10,23074390.241,3361.174,4.828
100,8,16,10,150-50,37602773.264,4151.470,5.729
250,8,16,10,150-50,22246084.477,3313.618,5.124
500,8,16,10,150-50,22313389.586,3328.896,4.898
750,8,16,10,150-50,20290474.577,3259.270,5.471
1000,8,16,10,150-50,25168647.538,3506.519,4.910
1000,8,16,10,75-25,20255775.384,3229.739,5.237
1000,8,16,10,75-15,20241238.448,3227.569,5.221
1000,8,16,10,75-5,20627538.674,3250.881,5.206
1000,8,16,10,75-10,21869026.503,3300.426,4.891
1500,8,16,10,75-15,20671329.002,3240.428,5.011
1000,8,16,10,70-15,20510281.477,3212.680,5.018
1000,8,16,10,60-15,20235299.387,3229.820,5.243
1000,8,16,10,55-15,20187637.002,3222.878,5.230
100,8,16,10,10-10-10,35162457.340,3925.496,5.894
100,8,16,10,5-5-5,5547883281.879,66155.468,99.955
100,8,16,10,15-15-15,34421917.024,4019.567,6.467
100,8,24,10,150-25,34673937.860,4040.163,6.082
100,8,24,10,150-50,29833811.658,3858.954,6.451
100,8,24,10,150-75,31429695.078,3884.676,6.174
100,8,24,10,150-dr0.1-50,32140772.732,3917.499,6.038
100,8,24,10,150-dr0.05-50,33490451.252,3990.421,6.126
100,8,24,10,150-50-dr0.1-20-dr0.1-10,39724397.127,4580.661,6.865
100,8,24,10,150-dr0.1-50-dr0.1-20-dr0.1-10,87132631.731,7125.223,9.435
