n = 128
reports/1587647508 MSE: 50858458.906, MAE: 5465.827, MAPE: 6.579
reports/1587647765 MSE: 52914886.451, MAE: 5477.428, MAPE: 6.209
reports/1587648008 MSE: 51819479.805, MAE: 5698.278, MAPE: 8.202
reports/1587648252 MSE: 55263711.125, MAE: 5813.583, MAPE: 7.053
reports/1587648490 MSE: 52491393.813, MAE: 5569.417, MAPE: 6.849
reports/1587648728 MSE: 58902997.273, MAE: 5640.064, MAPE: 6.043
reports/1587648964 MSE: 61716896.602, MAE: 5801.423, MAPE: 5.963
reports/1587649206 MSE: 50578265.978, MAE: 5468.691, MAPE: 6.781
reports/1587649443 MSE: 53639691.997, MAE: 5585.767, MAPE: 6.603
reports/1587649679 MSE: 58880025.550, MAE: 5879.245, MAPE: 7.965

n = 86 (scaled)
reports/1587650544 MSE: 41331242.756, MAE: 4616.587, MAPE: 4.800
reports/1587650708 MSE: 40544594.331, MAE: 4569.159, MAPE: 5.289
reports/1587650873 MSE: 44084707.815, MAE: 4760.862, MAPE: 5.488
reports/1587651033 MSE: 40653368.964, MAE: 4529.303, MAPE: 5.144
reports/1587651187 MSE: 46272588.090, MAE: 4968.906, MAPE: 5.343
reports/1587651346 MSE: 46448863.641, MAE: 4777.787, MAPE: 4.876
reports/1587651501 MSE: 41636305.268, MAE: 4627.608, MAPE: 5.833
reports/1587651656 MSE: 39059734.951, MAE: 4518.372, MAPE: 6.001
reports/1587651809 MSE: 36278866.649, MAE: 4381.264, MAPE: 5.297
reports/1587651962 MSE: 40426917.998, MAE: 4653.494, MAPE: 6.251

n = 60
MSE: 127907213.254, MAE: 9172.043, MAPE: 10.914
