--- 23.473642826080322 seconds for training ---
MSE: 5720248.351, MAE: 1726.233, MAPE: 4.145
Saved model to disk
reports/1587905376 MSE: 9626188.084, MAE: 2277.080, MAPE: 4.521
reports/1587905399 MSE: 5689841.775, MAE: 1639.386, MAPE: 3.556
reports/1587905423 MSE: 5894833.036, MAE: 1706.427, MAPE: 3.966
reports/1587905446 MSE: 5863682.318, MAE: 1632.711, MAPE: 3.544
reports/1587905472 MSE: 7470983.030, MAE: 2006.533, MAPE: 4.610
reports/1587905494 MSE: 5857249.300, MAE: 1642.609, MAPE: 3.508
reports/1587905518 MSE: 5873827.881, MAE: 1709.986, MAPE: 3.806
reports/1587905541 MSE: 7111917.260, MAE: 1913.510, MAPE: 4.200
reports/1587905564 MSE: 5180340.724, MAE: 1583.789, MAPE: 3.411
reports/1587905588 MSE: 6766985.724, MAE: 1789.951, MAPE: 3.757
reports/1587905611 MSE: 5430161.841, MAE: 1620.050, MAPE: 3.693
reports/1587905634 MSE: 5697267.351, MAE: 1621.032, MAPE: 3.431
reports/1587905657 MSE: 6005377.472, MAE: 1753.154, MAPE: 3.864
reports/1587905681 MSE: 5385046.805, MAE: 1628.459, MAPE: 3.794
reports/1587905705 MSE: 5244379.151, MAE: 1558.538, MAPE: 3.532
reports/1587905729 MSE: 11473821.299, MAE: 2604.233, MAPE: 6.001
reports/1587905753 MSE: 5372324.375, MAE: 1570.667, MAPE: 3.442
reports/1587905776 MSE: 5308397.706, MAE: 1596.503, MAPE: 3.401
reports/1587905799 MSE: 6537861.957, MAE: 1734.868, MAPE: 3.555
reports/1587905822 MSE: 10344603.734, MAE: 2412.657, MAPE: 5.260
reports/1587905845 MSE: 6784842.804, MAE: 1789.930, MAPE: 3.814
reports/1587905869 MSE: 5222309.807, MAE: 1567.003, MAPE: 3.551
reports/1587905892 MSE: 5680848.539, MAE: 1597.969, MAPE: 3.404
reports/1587905916 MSE: 11851680.645, MAE: 2580.317, MAPE: 5.158
reports/1587905939 MSE: 5311835.718, MAE: 1613.739, MAPE: 3.772
reports/1587905963 MSE: 5515392.050, MAE: 1605.561, MAPE: 3.548
reports/1587905987 MSE: 9002969.111, MAE: 2168.787, MAPE: 4.514
reports/1587906012 MSE: 8024085.854, MAE: 2059.338, MAPE: 4.285
reports/1587906035 MSE: 5564776.469, MAE: 1653.803, MAPE: 3.616
reports/1587906059 MSE: 5720248.351, MAE: 1726.233, MAPE: 4.145
