n,archit,mse,mae,mape
4,150-100,10594400.008,2492.349,4.499
8,150-100,10475304.863,2315.771,3.831
16,150-100,12986216.805,2355.314,3.268
24,150-100,12895060.549,2535.667,3.682
32,150-100,14818853.305,2803.265,4.380

8,150-dr0.2-50,11396647.326,2270.596,3.268
8,150-dr0.1-50,10511943.013,2237.576,3.422
8,150-dr0.1-50,10856682.349,2201.188,3.235

4,150-100-50,8702494.219,2069.382,3.219
8,150-100-50,9984809.021,2053.499,3.022
16,150-100-50,9749835.156,2087.094,2.951
24,150-100-50,9712151.346,2421.935,3.797
32,150-100-50,11962107.513,2499.216,3.513
